PV,Wind,Month,Holiday,Season_Autumn,Season_Spring,Season_Summer,Season_Winter,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Wind on,Wind off,
"
                    0.00
                  ",16464.38,6,1,False,True,False,False,False,False,False,False,False,False,True,15814.80,649.58,0.00
"
                    0.00
                  ",16718.56,6,1,False,True,False,False,False,False,False,False,False,False,True,16044.76,673.80,0.00
"
                    0.00
                  ",16966.64,6,1,False,True,False,False,False,False,False,False,False,False,True,16270.63,696.01,0.00
"
                    0.00
                  ",17177.93,6,1,False,True,False,False,False,False,False,False,False,False,True,16458.38,719.55,0.00
"
                    0.00
                  ",17388.95,6,1,False,True,False,False,False,False,False,False,False,False,True,16647.04,741.91,0.00
"
                    0.00
                  ",17565.28,6,1,False,True,False,False,False,False,False,False,False,False,True,16814.40,750.88,0.00
"
                    0.00
                  ",17730.03,6,1,False,True,False,False,False,False,False,False,False,False,True,16964.21,765.82,0.00
"
                    0.00
                  ",17872.38,6,1,False,True,False,False,False,False,False,False,False,False,True,17095.69,776.69,0.00
"
                    0.00
                  ",18029.75,6,1,False,True,False,False,False,False,False,False,False,False,True,17243.99,785.76,0.00
"
                    0.00
                  ",18226.22,6,1,False,True,False,False,False,False,False,False,False,False,True,17426.20,800.02,0.00
"
                    0.00
                  ",18440.94,6,1,False,True,False,False,False,False,False,False,False,False,True,17631.65,809.29,0.00
"
                    0.00
                  ",18663.58,6,1,False,True,False,False,False,False,False,False,False,False,True,17844.64,818.94,0.00
"
                    0.00
                  ",18907.81,6,1,False,True,False,False,False,False,False,False,False,False,True,18085.52,822.29,0.00
"
                    0.00
                  ",19120.03,6,1,False,True,False,False,False,False,False,False,False,False,True,18307.12,812.91,0.00
"
                    0.00
                  ",19331.42,6,1,False,True,False,False,False,False,False,False,False,False,True,18523.89,807.53,0.00
"
                    0.00
                  ",19536.76,6,1,False,True,False,False,False,False,False,False,False,False,True,18736.86,799.90,0.00
"
                    0.00
                  ",19742.75,6,1,False,True,False,False,False,False,False,False,False,False,True,18946.31,796.44,0.00
"
                    0.00
                  ",19932.88,6,1,False,True,False,False,False,False,False,False,False,False,True,19136.88,796.00,0.00
"
                    0.15
                  ",20106.55,6,1,False,True,False,False,False,False,False,False,False,False,True,19314.99,791.56,0.00
"
                    23.72
                  ",20277.23,6,1,False,True,False,False,False,False,False,False,False,False,True,19489.25,787.98,11.39
"
                    94.54
                  ",20439.15,6,1,False,True,False,False,False,False,False,False,False,False,True,19653.52,785.63,58.93
"
                    264.25
                  ",20575.83,6,1,False,True,False,False,False,False,False,False,False,False,True,19789.59,786.24,221.15
"
                    533.52
                  ",20704.89,6,1,False,True,False,False,False,False,False,False,False,False,True,19921.04,783.85,505.33
"
                    931.04
                  ",20800.77,6,1,False,True,False,False,False,False,False,False,False,False,True,20017.60,783.17,959.49
"
                    1472.39
                  ",21207.59,6,1,False,True,False,False,False,False,False,False,False,False,True,20427.62,779.97,1586.91
"
                    2206.42
                  ",21306.14,6,1,False,True,False,False,False,False,False,False,False,False,True,20528.65,777.49,2399.87
"
                    3132.87
                  ",21381.10,6,1,False,True,False,False,False,False,False,False,False,False,True,20608.09,773.01,3355.65
"
                    4198.16
                  ",21559.72,6,1,False,True,False,False,False,False,False,False,False,False,True,20788.38,771.34,4476.56
"
                    5343.96
                  ",21734.59,6,1,False,True,False,False,False,False,False,False,False,False,True,20963.75,770.84,5708.35
"
                    6555.20
                  ",21938.88,6,1,False,True,False,False,False,False,False,False,False,False,True,21164.50,774.38,7026.50
"
                    7798.95
                  ",22150.56,6,1,False,True,False,False,False,False,False,False,False,False,True,21369.65,780.91,8314.36
"
                    9090.93
                  ",22361.10,6,1,False,True,False,False,False,False,False,False,False,False,True,21575.09,786.01,9646.18
"
                    10430.56
                  ",22490.52,6,1,False,True,False,False,False,False,False,False,False,False,True,21698.90,791.62,10937.19
"
                    11830.02
                  ",22569.34,6,1,False,True,False,False,False,False,False,False,False,False,True,21777.54,791.80,12252.31
"
                    13253.17
                  ",22751.79,6,1,False,True,False,False,False,False,False,False,False,False,True,21958.80,792.99,13565.72
"
                    14698.91
                  ",23016.80,6,1,False,True,False,False,False,False,False,False,False,False,True,22229.39,787.41,14917.48
"
                    15948.96
                  ",23042.15,6,1,False,True,False,False,False,False,False,False,False,False,True,22381.14,661.01,16277.93
"
                    17313.97
                  ",23130.54,6,1,False,True,False,False,False,False,False,False,False,False,True,22474.69,655.85,17599.37
"
                    18616.24
                  ",23223.09,6,1,False,True,False,False,False,False,False,False,False,False,True,22569.41,653.68,18871.32
"
                    19876.40
                  ",23435.30,6,1,False,True,False,False,False,False,False,False,False,False,True,22783.77,651.53,20169.21
"
                    21078.00
                  ",23423.96,6,1,False,True,False,False,False,False,False,False,False,False,True,22773.28,650.68,21483.06
"
                    22253.80
                  ",23535.14,6,1,False,True,False,False,False,False,False,False,False,False,True,22871.28,663.86,22719.70
"
                    23362.63
                  ",23534.10,6,1,False,True,False,False,False,False,False,False,False,False,True,22862.06,672.04,23883.18
"
                    24377.64
                  ",23413.59,6,1,False,True,False,False,False,False,False,False,False,False,True,22732.04,681.55,25014.92
"
                    25308.50
                  ",23203.26,6,1,False,True,False,False,False,False,False,False,False,False,True,22504.36,698.90,26022.73
"
                    26152.60
                  ",23133.25,6,1,False,True,False,False,False,False,False,False,False,False,True,22406.81,726.44,27391.07
"
                    26868.88
                  ",23065.10,6,1,False,True,False,False,False,False,False,False,False,False,True,22310.12,754.98,28778.18
"
                    27486.65
                  ",22835.63,6,1,False,True,False,False,False,False,False,False,False,False,True,22052.12,783.51,30051.11
"
                    28059.49
                  ",22538.20,6,1,False,True,False,False,False,False,False,False,False,False,True,21719.43,818.77,31185.19
"
                    28557.66
                  ",22254.86,6,1,False,True,False,False,False,False,False,False,False,False,True,21397.33,857.53,32203.06
"
                    28939.36
                  ",22145.73,6,1,False,True,False,False,False,False,False,False,False,False,True,21244.45,901.28,33226.54
"
                    29237.01
                  ",22133.99,6,1,False,True,False,False,False,False,False,False,False,False,True,21194.41,939.58,34115.37
"
                    29436.74
                  ",22256.66,6,1,False,True,False,False,False,False,False,False,False,False,True,21271.06,985.60,34915.63
"
                    29566.34
                  ",22372.76,6,1,False,True,False,False,False,False,False,False,False,False,True,21336.66,1036.10,35707.36
"
                    29604.77
                  ",22630.29,6,1,False,True,False,False,False,False,False,False,False,False,True,21542.67,1087.62,36355.20
"
                    29552.38
                  ",22914.49,6,1,False,True,False,False,False,False,False,False,False,False,True,21780.40,1134.09,36790.20
"
                    29404.04
                  ",23249.42,6,1,False,True,False,False,False,False,False,False,False,False,True,22064.49,1184.93,37171.86
"
                    29218.89
                  ",23556.26,6,1,False,True,False,False,False,False,False,False,False,False,True,22303.83,1252.43,37560.84
"
                    28916.81
                  ",23834.70,6,1,False,True,False,False,False,False,False,False,False,False,True,22515.77,1318.93,37774.30
"
                    28498.17
                  ",24119.67,6,1,False,True,False,False,False,False,False,False,False,False,True,22745.89,1373.78,37881.51
"
                    28018.93
                  ",24382.58,6,1,False,True,False,False,False,False,False,False,False,False,True,22945.16,1437.42,37951.75
"
                    27517.50
                  ",24665.36,6,1,False,True,False,False,False,False,False,False,False,False,True,23149.41,1515.95,37961.02
"
                    26907.47
                  ",24916.80,6,1,False,True,False,False,False,False,False,False,False,False,True,23321.31,1595.49,37703.72
"
                    26136.21
                  ",25385.46,6,1,False,True,False,False,False,False,False,False,False,False,True,23710.13,1675.33,37064.82
"
                    25277.55
                  ",25908.14,6,1,False,True,False,False,False,False,False,False,False,False,True,24158.61,1749.53,36253.77
"
                    24351.15
                  ",26341.58,6,1,False,True,False,False,False,False,False,False,False,False,True,24528.27,1813.31,35244.99
"
                    23344.18
                  ",26791.53,6,1,False,True,False,False,False,False,False,False,False,False,True,24918.42,1873.11,33986.94
"
                    22183.81
                  ",27407.88,6,1,False,True,False,False,False,False,False,False,False,False,True,25472.68,1935.20,32576.35
"
                    20953.77
                  ",28069.26,6,1,False,True,False,False,False,False,False,False,False,False,True,25988.02,2081.24,31381.84
"
                    19650.53
                  ",28647.44,6,1,False,True,False,False,False,False,False,False,False,False,True,26507.85,2139.59,29661.54
"
                    18256.11
                  ",29193.45,6,1,False,True,False,False,False,False,False,False,False,False,True,26992.52,2200.93,27798.97
"
                    16753.28
                  ",29715.82,6,1,False,True,False,False,False,False,False,False,False,False,True,27466.88,2248.94,25766.12
"
                    15352.81
                  ",30372.18,6,1,False,True,False,False,False,False,False,False,False,False,True,28058.59,2313.59,23552.44
"
                    13636.75
                  ",30754.60,6,1,False,True,False,False,False,False,False,False,False,False,True,28364.04,2390.56,21133.00
"
                    11891.55
                  ",30768.96,6,1,False,True,False,False,False,False,False,False,False,False,True,28310.44,2458.52,18581.84
"
                    10186.80
                  ",30477.31,6,1,False,True,False,False,False,False,False,False,False,False,True,27951.41,2525.90,16025.96
"
                    8550.11
                  ",30733.70,6,1,False,True,False,False,False,False,False,False,False,False,True,27517.05,3216.65,13484.42
"
                    7014.28
                  ",30119.35,6,1,False,True,False,False,False,False,False,False,False,False,True,26826.95,3292.40,10965.34
"
                    5626.42
                  ",29509.96,6,1,False,True,False,False,False,False,False,False,False,False,True,26137.82,3372.14,8590.87
"
                    4419.94
                  ",29008.36,6,1,False,True,False,False,False,False,False,False,False,False,True,25505.05,3503.31,6535.36
"
                    3362.94
                  ",28442.67,6,1,False,True,False,False,False,False,False,False,False,False,True,24888.96,3553.71,4804.15
"
                    2414.96
                  ",27976.05,6,1,False,True,False,False,False,False,False,False,False,False,True,24368.26,3607.79,3288.72
"
                    1564.03
                  ",27644.86,6,1,False,True,False,False,False,False,False,False,False,False,True,23883.94,3760.92,2032.07
"
                    867.84
                  ",27278.48,6,1,False,True,False,False,False,False,False,False,False,False,True,23489.05,3789.43,1034.45
"
                    414.42
                  ",26965.44,6,1,False,True,False,False,False,False,False,False,False,False,True,23162.81,3802.63,415.89
"
                    174.20
                  ",26691.66,6,1,False,True,False,False,False,False,False,False,False,False,True,22922.42,3769.24,141.86
"
                    65.96
                  ",26417.81,6,1,False,True,False,False,False,False,False,False,False,False,True,22678.95,3738.86,50.60
"
                    28.60
                  ",26167.61,6,1,False,True,False,False,False,False,False,False,False,False,True,22461.05,3706.56,0.00
"
                    8.10
                  ",25647.74,6,1,False,True,False,False,False,False,False,False,False,False,True,21955.13,3692.61,0.00
"
                    0.00
                  ",25547.53,6,1,False,True,False,False,False,False,False,False,False,False,True,21842.67,3704.86,0.00
"
                    0.00
                  ",25454.97,6,1,False,True,False,False,False,False,False,False,False,False,True,21739.84,3715.13,0.00
"
                    0.00
                  ",25407.34,6,1,False,True,False,False,False,False,False,False,False,False,True,21684.29,3723.05,0.00
"
                    0.00
                  ",25349.89,6,1,False,True,False,False,False,False,False,False,False,False,True,21615.22,3734.67,0.00
"
                    0.00
                  ",25407.60,6,1,False,True,False,False,False,False,False,False,False,False,True,21589.75,3817.85,0.00
"
                    0.00
                  ",25456.96,6,1,False,True,False,False,False,False,False,False,False,False,True,21568.95,3888.01,0.00
"
                    0.00
                  ",25491.00,6,1,False,True,False,False,False,False,False,False,False,False,True,21534.98,3956.02,0.00